date,precipitation
1998-02-01,40.95
1998-01-01,49.45
1997-12-01,63.4
1997-11-01,68.48
1997-10-01,66.17
1997-09-01,77.1
1997-08-01,85.65
1997-07-01,80.58
1997-06-01,71.16
1997-05-01,71.77
1997-04-01,70.26
1997-03-01,55.02
1997-02-01,39.75
1997-01-01,49.15
1996-12-01,63.06
1996-11-01,72.25
1996-10-01,64.47
1996-09-01,73.4
1996-08-01,86.39
1996-07-01,77.83
1996-06-01,69.65
1996-05-01,70.33
1996-04-01,68.64
1996-03-01,55.67
1996-02-01,39.5
1996-01-01,48.76
1995-12-01,64
1995-11-01,70.9
1995-10-01,63.57
1995-09-01,74.71
1995-08-01,84.37
1995-07-01,78.1
1995-06-01,69.25
1995-05-01,68.98
1995-04-01,68.6
1995-03-01,55.48
1995-02-01,42.38
1995-01-01,46.66
1994-12-01,64.04
1994-11-01,69.16
1994-10-01,64.2
1994-09-01,73.46
1994-08-01,87.29
1994-07-01,78.72
1994-06-01,68.7
1994-05-01,67.74
1994-04-01,67.86
1994-03-01,56.68
1994-02-01,42.66
1994-01-01,46.58
1993-12-01,64.58
1993-11-01,70.84
1993-10-01,63.1
1993-09-01,73.44
1993-08-01,87.94
1993-07-01,78.43
1993-06-01,66
1993-05-01,68.58
1993-04-01,67.88
1993-03-01,57.91
1993-02-01,42.64
1993-01-01,45.36
1992-12-01,65.46
1992-11-01,70.49
1992-10-01,64.17
1992-09-01,74.56
1992-08-01,85.34
1992-07-01,76.97
1992-06-01,66.93
1992-05-01,66.64
1992-04-01,64.57
1992-03-01,57.59
1992-02-01,44.34
1992-01-01,46.38
1991-12-01,65.51
1991-11-01,70.33
1991-10-01,63.12
1991-09-01,74.23
1991-08-01,84.17
1991-07-01,76.62
1991-06-01,68.88
1991-05-01,65.99
1991-04-01,63.99
1991-03-01,56.88
1991-02-01,45.53
1991-01-01,45.62
1990-12-01,62.33
1990-11-01,70.91
1990-10-01,62.12
1990-09-01,73.02
1990-08-01,81.74
1990-07-01,77.8
1990-06-01,68.42
1990-05-01,67
1990-04-01,64.38
1990-03-01,57.22
1990-02-01,45.14
1990-01-01,46.68
1989-12-01,64.22
1989-11-01,70.17
1989-10-01,62.23
1989-09-01,73.86
1989-08-01,81.71
1989-07-01,76.38
1989-06-01,66.01
1989-05-01,65.75
1989-04-01,65.05
1989-03-01,57.98
1989-02-01,46.99
1989-01-01,48.01
1988-12-01,64.02
1988-11-01,70.61
1988-10-01,61.03
1988-09-01,74.13
1988-08-01,82.77
1988-07-01,74.68
1988-06-01,66.07
1988-05-01,65.23
1988-04-01,64.41
1988-03-01,58.03
1988-02-01,46.07
1988-01-01,48.14
1987-12-01,64.73
1987-11-01,69.36
1987-10-01,60.92
1987-09-01,73.75
1987-08-01,83.07
1987-07-01,71.46
1987-06-01,66.86
1987-05-01,66.65
1987-04-01,65.65
1987-03-01,57.49
1987-02-01,47.51
1987-01-01,48.12
1986-12-01,64.71
1986-11-01,68.8
1986-10-01,59.85
1986-09-01,68.01
1986-08-01,82.35
1986-07-01,70.98
1986-06-01,65.91
1986-05-01,67.95
1986-04-01,66.16
1986-03-01,58.42
1986-02-01,47.99
1986-01-01,48.67
1985-12-01,65.3
1985-11-01,65.15
1985-10-01,60.68
1985-09-01,67.12
1985-08-01,80.75
1985-07-01,69.09
1985-06-01,65.49
1985-05-01,67.41
1985-04-01,67.16
1985-03-01,58.16
1985-02-01,46.52
1985-01-01,47.36
1984-12-01,65.17
1984-11-01,64.07
1984-10-01,66.94
1984-09-01,67.32
1984-08-01,81.66
1984-07-01,67.59
1984-06-01,67.76
1984-05-01,64.64
1984-04-01,68.26
1984-03-01,58.74
1984-02-01,46.55
1984-01-01,48.1
1983-12-01,64.02
1983-11-01,62.5
1983-10-01,65.2
1983-09-01,67.92
1983-08-01,81.35
1983-07-01,69.38
1983-06-01,68.98
1983-05-01,65.85
1983-04-01,67.55
1983-03-01,58.4
1983-02-01,46.4
1983-01-01,48.41
1982-12-01,62.66
1982-11-01,62.37
1982-10-01,64.32
1982-09-01,65.63
1982-08-01,79.38
1982-07-01,70.64
1982-06-01,66.19
1982-05-01,66.77
1982-04-01,68.07
1982-03-01,58.47
1982-02-01,46.82
1982-01-01,48.85
1981-12-01,64.85
1981-11-01,62.8
1981-10-01,61.84
1981-09-01,63.58
1981-08-01,76.84
1981-07-01,71.44
1981-06-01,67.1
1981-05-01,66.06
1981-04-01,70.04
1981-03-01,61.13
1981-02-01,46.09
1981-01-01,50.47
1980-12-01,63.63
1980-11-01,64.64
1980-10-01,61.48
1980-09-01,62.55
1980-08-01,78.43
1980-07-01,69.24
1980-06-01,66.26
1980-05-01,65.1
1980-04-01,68.36
1980-03-01,60.48
1980-02-01,47.96
1980-01-01,52.43
1979-12-01,63.09
1979-11-01,63.02
1979-10-01,60.94
1979-09-01,64.07
1979-08-01,80.42
1979-07-01,69.02
1979-06-01,64.01
1979-05-01,62.11
1979-04-01,66.46
1979-03-01,60.98
1979-02-01,49.37
1979-01-01,52.43
1978-12-01,62.65
1978-11-01,63.96
1978-10-01,61.02
1978-09-01,64.74
1978-08-01,79.92
1978-07-01,69.32
1978-06-01,65.85
1978-05-01,61.92
1978-04-01,66.08
1978-03-01,61.58
1978-02-01,51.31
1978-01-01,51.46
1977-12-01,60.72
1977-11-01,62.09
1977-10-01,59.85
1977-09-01,60.86
1977-08-01,78.51
1977-07-01,68.81
1977-06-01,66.29
1977-05-01,63.81
1977-04-01,66.24
1977-03-01,60.74
1977-02-01,51.34
1977-01-01,53.5
1976-12-01,61.19
1976-11-01,63.18
1976-10-01,60.4
1976-09-01,60.99
1976-08-01,77.61
1976-07-01,68.73
1976-06-01,64.97
1976-05-01,63.17
1976-04-01,64.4
1976-03-01,57.81
1976-02-01,51.31
1976-01-01,55.01
1975-12-01,60.26
1975-11-01,63.17
1975-10-01,60.47
1975-09-01,63.1
1975-08-01,75.63
1975-07-01,70.95
1975-06-01,65.6
1975-05-01,65.87
1975-04-01,64.85
1975-03-01,59.48
1975-02-01,50.48
1975-01-01,54.63
1974-12-01,61.1
1974-11-01,62.1
1974-10-01,60.24
1974-09-01,63.68
1974-08-01,76.97
1974-07-01,72
1974-06-01,64.76
1974-05-01,65.8
1974-04-01,64.53
1974-03-01,60.3
1974-02-01,51.09
1974-01-01,53.07
1973-12-01,59.06
1973-11-01,60.35
1973-10-01,58.54
1973-09-01,63.07
1973-08-01,77.63
1973-07-01,72.8
1973-06-01,64.01
1973-05-01,66.35
1973-04-01,64.35
1973-03-01,59.11
1973-02-01,51.5
1973-01-01,54.29
1972-12-01,59.55
1972-11-01,60.54
1972-10-01,57.12
1972-09-01,63.6
1972-08-01,76.09
1972-07-01,75.31
1972-06-01,61.34
1972-05-01,72.12
1972-04-01,64.03
1972-03-01,59.78
1972-02-01,50.88
1972-01-01,54.27
1971-12-01,57.83
1971-11-01,61.13
1971-10-01,58.83
1971-09-01,63.36
1971-08-01,73.2
1971-07-01,74.96
1971-06-01,61.29
1971-05-01,72.76
1971-04-01,64.69
1971-03-01,59.89
1971-02-01,49.54
1971-01-01,55.68
1970-12-01,57.89
1970-11-01,63.44
1970-10-01,58.22
1970-09-01,64.71
1970-08-01,72.22
1970-07-01,73.53
1970-06-01,62.89
1970-05-01,74.98
1970-04-01,63.68
1970-03-01,60.04
1970-02-01,49.68
1970-01-01,56.43
1969-12-01,57.78
1969-11-01,63.17
1969-10-01,58.54
1969-09-01,66.42
1969-08-01,72.05
1969-07-01,71.26
1969-06-01,63.32
1969-05-01,73.34
1969-04-01,63.69
1969-03-01,61.53
1969-02-01,52.09
1969-01-01,56.37
1968-12-01,55.97
1968-11-01,61.1
1968-10-01,57.37
1968-09-01,66.9
1968-08-01,67.84
1968-07-01,71.43
1968-06-01,62.79
1968-05-01,72.38
1968-04-01,63.79
1968-03-01,61
1968-02-01,53.38
1968-01-01,54.97
1967-12-01,54.99
1967-11-01,60.9
1967-10-01,56.73
1967-09-01,66.85
1967-08-01,68.6
1967-07-01,71.64
1967-06-01,59.76
1967-05-01,73.18
1967-04-01,62.57
1967-03-01,62.38
1967-02-01,53.74
1967-01-01,54.95
1966-12-01,53.92
1966-11-01,57.97
1966-10-01,57.91
1966-09-01,67.28
1966-08-01,68.53
1966-07-01,73.67
1966-06-01,59.3
1966-05-01,74.1
1966-04-01,62.91
1966-03-01,62.62
1966-02-01,54.58
1966-01-01,54.74
1965-12-01,53.55
1965-11-01,57.11
1965-10-01,56.11
1965-09-01,67.31
1965-08-01,68.3
1965-07-01,74.04
1965-06-01,60.01
1965-05-01,75.12
1965-04-01,62.45
1965-03-01,63.27
